Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	DIA_1_S5-B1_1_12203.d	DIA_2_S5-C1_1_12204.d	DIA_3_S5-D1_1_12205.d	DIA_4_S5-E1_1_12206.d	DIA_5_S5-F1_1_12207.d	DIA_6_S5-G1_1_12208.d	DIA_7_S5-A2_1_12209.d	DIA_8_S5-B2_1_12210.d	DIA_9_S5-C2_1_12211.d	DIA_10_S5-D2_1_12212.d	DIA_11_S5-E2_1_12213.d	DIA_12_S5-F2_1_12214.d	DIA_13_S5-G2_1_12215.d	DIA_14_S5-A3_1_12216.d	DIA_15_S5-B3_1_12217.d	DIA_16_S5-C3_1_12218.d	DIA_17_S5-D3_1_12219.d	DIA_18_S5-E3_1_12220.d	DIA_19_S5-F3_1_12221.d	DIA_20_S5-G3_1_12222.d	DIA_21_S5-A4_1_12223.d	DIA_22_S5-B4_1_12224.d	DIA_23_S5-C4_1_12225.d	DIA_24_S5-D4_1_12226.d	DIA_25_S5-E4_1_12227.d	DIA_26_S5-F4_1_12228.d	DIA_27_S5-G4_1_12229.d	DIA_28_S5-A5_1_12230.d	DIA_29_S5-B5_1_12231.d	DIA_30_S5-C5_1_12232.d	DIA_31_S5-D5_1_12233.d	DIA_32_S5-E5_1_12234.d	DIA_33_S5-F5_1_12235.d	DIA_34_S5-G5_1_12236.d	DIA_35_S5-A6_1_12237.d	DIA_36_S5-B6_1_12238.d	DIA_37_S5-C6_1_12239.d	DIA_38_S5-D6_1_12240.d	DIA_39_S5-E6_1_12241.d	DIA_40_S5-F6_1_12242.d	DIA_41_S5-G6_1_12243.d	DIA_42_S5-A7_1_12244.d	DIA_43_S5-B7_1_12245.d	DIA_44_S5-C7_1_12246.d	DIA_45_S5-D7_1_12247.d	DIA_46_S5-E7_1_12248.d	DIA_47_S5-F7_1_12249.d	DIA_48_S6-B1_1_12252.d	DIA_49_S6-C1_1_12253.d	DIA_50_S6-D1_1_12254.d	DIA_51_S6-E1_1_12255.d	DIA_52_S6-F1_1_12256.d	DIA_53_S6-G1_1_12257.d	DIA_54_S6-A2_1_12258.d	DIA_55_S6-B2_1_12259.d	DIA_56_S6-C2_1_12260.d	DIA_57_S6-D2_1_12261.d	DIA_58_S6-E2_1_12262.d	DIA_59_S6-F2_1_12263.d	DIA_60_S6-G2_1_12264.d	DIA_61_S6-A3_1_12265.d	DIA_62_S6-B3_1_12266.d	DIA_63_S6-C3_1_12267.d	DIA_64_S6-D3_1_12268.d	DIA_65_S6-E3_1_12269.d	DIA_66_S6-F3_1_12270.d	DIA_67_S6-G3_1_12271.d	DIA_68_S6-A4_1_12272.d	DIA_69_S6-B4_1_12273.d	DIA_70_S6-C4_1_12274.d	DIA_71_S6-D4_1_12275.d	DIA_72_S6-E4_1_12276.d	DIA_73_S6-F4_1_12277.d	DIA_74_S6-G4_1_12278.d	DIA_75_S6-A5_1_12279.d	DIA_76_S6-B5_1_12280.d	DIA_77_S6-C5_1_12281.d	DIA_78_S6-D5_1_12282.d	DIA_79_S6-E5_1_12283.d	DIA_80_S6-F5_1_12284.d	DIA_81_S6-G5_1_12285.d	DIA_82_S6-A6_1_12286.d	DIA_83_S6-B6_1_12287.d	DIA_84_S6-C6_1_12288.d	DIA_85_S6-D6_1_12289.d	DIA_86_S6-E6_1_12290.d	DIA_87_S6-F6_1_12291.d	DIA_88_S6-G6_1_12292.d	DIA_89_S6-A7_1_12293.d	DIA_90_S6-B7_1_12294.d	DIA_91_S6-C7_1_12295.d	DIA_92_S6-D7_1_12296.d	DIA_93_S6-E7_1_12297.d	DIA_94_S6-F7_1_12298.d	DIA_95_S6-G7_1_12299.d	DIA_96_S6-A8_1_12300.d	DIA_97_S6-B8_1_12301.d	DIA_98_S6-C8_1_12302.d	DIA_Pool1_S5-A1_1_12202.d	DIA_Pool2_S5-G7_1_12250.d	DIA_Pool3_S6-A1_1_12251.d	DIA_Pool4_S6-D8_1_12303.d
A0A075B6S2	A0A075B6S2	KVD29_HUMAN	IGKV2D-29	Immunoglobulin kappa variable 2D-29											744.676	431.986			323.447						244.05																											545.642		296.927																										504.084		1595.6												258.766									311.136			
A0A075B6S5	A0A075B6S5	KV127_HUMAN	IGKV1-27	Immunoglobulin kappa variable 1-27	7347.55	3784.48	2634.12	3341.33	3200.02	3474.44	2850.49	1965.15	2023.95	3917.21	4542.12	5692.1	2552.55	1916.08	1965.49	3593.4	4499.03	2044.76	4961.97	3170.37	3924.27	2232.2	4181.86	4386.15	1756.55	2317.57	3860.02	2131.71	5463.24	3977.3	14319.2	3133.45	4366.82	3115.33	2197.63	1891.07	1327.77	2241.79	2738.82	4571.33	8288.84	4492.77	1795.52	3462.52	1703.7	2086.03	3674.9	2286.39	1824.2	2054.24	1958.07	1335.58	3529.82		1345.85	4095.16	1960.94	2307.46	2991.27	1084.61	2219.69		2186.62	1518.02	1380.24	4369.85	5955.95	1505.05	2126.36	5779.63	3706.84	1564.68	1992.23	3868.65	6015.22	12761.9	13026	12912.7	4901.29	3593.09	2943.14	2399.32	1253.84	1414.14	3236.88	4651.75	4522.25	2225.79	3661.16	2154.17	3779.54	1565.54	1302.28	2206.72	2990.66	8419.78	3798.5	1013.34	5375.3	3612.06	1611.93	2385.49
A0A075B6S9	A0A075B6S9	KV137_HUMAN	IGKV1-37	Probable non-functional immunoglobulinn kappa variable 1-37	3031.1	2893.53	1101.08		983.322	1458.01		1244.17	1280.55	1650.66	2605.16				2786.74	1099.58	2222.56	1228.58	3049.49		1263.81	1346.57	1819.1	1910.5	5779.51	2059.06	1310.15		1810.01			1115.08	1995.49	662.072						3826.87	8001.79	1967.39	905.04					820.745	2223.48		1086.31							1055.64	1109.92		836.337			1053.57	1353.98	3370.42	2839.93		1684.97	1309.93	7637.28	2723.01	1859.87		5184.47	7792.56	10364	13852.4	1811.57	2411.53	1577.61	1025.65	1863.23		2494.24	1926.96	2703.04		4285.02	1714.21	1679.06		1790.49		5007.77	3704.08	936.286		2941.25	2767.23	1652.16	1153.13
A0A075B7D0	A0A075B7D0	A0A075B7D0_HUMAN	IGHV1OR15-1	Immunoglobulin heavy variable 1/OR15-1 (non-functional) (Fragment)	12935.8	6383.87	27282.5	27688.2		9112.29	22379.7		4096.15	27353.4	3020.93		16193	18109.3	4350.1		18659.9	2857.91	5898.79	9447.12	4397.1	14781.7	9147.43	11024.2		21583.4	5575.05		9177.11				6438.38	19932.1	18105.9		3486.75		9624.42	7107	52105.2	15674.3	26114.1	4314.52	5321.56	16003.7	3655.98	12878	8614.3	10505.4	9169.5		3321.27			13431.2		14041.7	22488.4	6327.51		6922.07	5907.32	9378.66		17830.6	6303.38		18269.7		3306.87	15248.7	12003.4	6758.72	3849.47	64737.2	15665.1	16902.9	11655.9	2261.4	6699.3	9977.63	8093.19	5251.44	32267.6		13899.5	11979.8		4856.25	15266.5	11936	9033.21	7121.67	12065.8		9914.38	9519.33	23539.5	15297.2	10714	11513.7
A0A075B7D8	A0A075B7D8	A0A075B7D8_HUMAN	IGHV3OR15-7	Immunoglobulin heavy variable 3/OR15-7 (pseudogene) (Fragment)	3806.43	1756.27						419.163	912.472	910.557		1137.81	692.178				1832.89	1162.69			1166.99		2450.92	1082.36	885.009		4026.45	593.442	1016.77	801.026		2719.72	2535.86	942.896	796.292	1425	727.917	1209.81				1505.68	470.893	822.844		547.124	2226.75	1551.9	1507.61		2694.95	2273.75				2275.36	1062.76	3077.9	1206.81			525.005				1280.93		982.353	1280.69		3243.97	1070.66	1109.8	1392.55													3547.78			2229.15	950.596			2280.33	2186.38					2043.62		1558.47
A0A087WSX0	A0A087WSX0	LV545_HUMAN	IGLV5-45	Immunoglobulin lambda variable 5-45	970.25	728.243		842.277	946.072						1310.74							697.12			2835.05					592.305						840.059	2003.41								1249.62			718.686				502.547	977.976		1098.75					1203.43									1356.73		1386.51						900.054		3211.09	2926.26	3283.48	2268.52	602.317		1598.26		740.514				1298.77		845.323		1290.79				2550.81		1542.38		1098.4	784.962		
A0A087WSY6	A0A087WSY6	KVD15_HUMAN	IGKV3D-15	Immunoglobulin kappa variable 3D-15	4889.68	1702.61	3708.37	4870.7	2887.91	2091.71	2873.2	2398.4	1419.34	2511.97	4858.73	4684.8	1863.81	2324.99	2010.38	1378.01	2726.63	1501.36	3367.06	2073.35	2303.24	981.087	2020.34	4815.17	1651.14	1616.95	3156.07	6288.65	6590.28	1588.63		2891.81	3037.41	1858.23	2294.99	2946.14	1947.35	979.399	3803.41	3360.25	9919.07	2864.24	2724.89	1661.96	1235.39	1473.97	2460.83	1769.08	3446.83	3130.89	1657.29	1020.96	4799.33		855.392	2681.82	1402.3	2071.96	1256.14	911.149	1153.5	1007.3	1897.36	1255.74	1441.9	3407.97	8993.12	1484.7	1803.72	1757.86	2503.02	1194.72	3086.57	2884.54	7670.47	12822.3	16820.3	13364.9	3204	2337.8	1925.96	1654.36	1873.16	1068.99	5141.18	3489.53	3197.26	1097.99	2751.35	4469.65	3848.65	1767.22	1166.68		3394.16	4622.21	1027.2		7325.44	4437.58	1684.93	2120.46
A0A087WSZ0	A0A087WSZ0	KVD08_HUMAN	IGKV1D-8	Immunoglobulin kappa variable 1D-8	910.398			908.307								695.738																	991.668															629.094				846.298											481.186																	2427.97	2054.98	1784.76							1109.7						1007.26											267.948
A0A087WW87	A0A087WW87	KV240_HUMAN	IGKV2-40	Immunoglobulin kappa variable 2-40																																																																													943.451																									
A0A0A0MS15	A0A0A0MS15	HV349_HUMAN	IGHV3-49	Immunoglobulin heavy variable 3-49	2755.44	1034.81	725.057	1927.83		924.977	1298.6	1157.9	1487.37	927.98	2534.59	512.422	3642.19	4037.48	582.77	1052.68	2644.61	491.159	2191.95	1885.11		321.085	628.191		754.135		2428.36	1552.7	1033.3	1934.61		2128.04		2316.78	1208.49	1017.6	402.225	498.914	2512.38	1699.59	5872.43	1207.87	1715.04	977.037	2036.39	926.235	2846.68	833.829	3243.09	920.609	1442.58		1920.31		999.168	1603.27	789.035				1078.57			969.493	1217.17	880.151	2660.64	686.928		951.701	2326.97		2411.45	3930.89	4104.36	7126.06	8191.36	4535.08	4153.94	2143.48	2744.69	1272.92		1436.61	7333.34	872.65	1734.65	648.885		813.199	926.947	1463.82	4315.81	2404.57	1740.8	2537.61	747.989		2180.21	1847.66	1654.16	
A0A0B4J1U3	A0A0B4J1U3	LV136_HUMAN	IGLV1-36	Immunoglobulin lambda variable 1-36	873.019	1129.72	2229.56	779.382	1987.83		743.151	413.134	2155.21		2192.69	1860.75	691.399	2371.97	937.531	812.272		1758.63	573.288	1524.49	6237.68	560.081	1467.19	1143.05			3636.32		866.195	2191.1		684.943	871.871	692.558	1823.27		2228.44	668.004	1119.43	2106.2	3024		735.6	683.083	1451.39		1296.12	784.524	834.964		1277.55	716.938	1940.82		463.793	920.7	805.837	408.088	671.573			589.853	1565.81		1239.47		598.096	832.691		603.815	2138.77	931.473		4329.36	2439.24	5118.33	3870.32	1621.38	1785.59	2948.99	3434.03	1207	1082.5		2909.42		718.423	603.148	1240.66	1268.63	2483.96	839.747	3086.01	3075.1	3193.7				2444.42	1625.88	1419.64	957.345
A0A0B4J1U7	A0A0B4J1U7	HV601_HUMAN	IGHV6-1	Immunoglobulin heavy variable 6-1	9876.98	5937.21	3176.82	12930	11483.3	8609.29	13041.3	4640.33	2437.16	6507.1	10722.7	4726.15	1433.24	123641	15205.5	8631.63	109974	3574.36	30807.6	8571.91	10615.5	38857	3758.02	42248.2	20883.5	80573.4	10144.7	25971.2	22416	15962		30164.2	23638.6	27604	174864	6935.68	8954.33	36550.8	4204.16	48001.3	31636.1	116820	53034.9	13116.4	55153.1	31466.3	7694.78	14929.8	2651.89	15102.3	10277.5		2234.83		7122.39	3518.71	7940.33	7170.42	1620.41	3945.09	1468.99	4969.21			2395.55	6850.63	9574.17	7152.28	21749.4	4610.81	45542	10192.9	2418.72	17162.1	2730.92	3439.18	8348.32	5618.32	1741.1	1822.18	3803.73	3562.18	2665.49	4597.52	4497.48	3455.04	6630.84	3850	4452.73	7248.47	2221.02	10498.8	4881.07	3362.43	10720	12593.1	2099.75	2692.31	9409.75	51710.7	4567.56	4253.17
A0A0B4J1V0	A0A0B4J1V0	HV315_HUMAN	IGHV3-15	Immunoglobulin heavy variable 3-15	2958.31	2208.28	589.317	1599.39	4252.4	522.456	10158.1	382.002	896.139	1171.77	1862.18	2270.43		995.815	981.745	1130.7	1687.79	1267.12	1606.26	1235.75	1629.19	914.267	5664.51		985.948	451.344	5387.1		1056.75			2013.21	3804.27	848.919	1985.16	1972.39	656.064	682.657	2419.61	2703.48	2510.36	835.255		1196.32	1514.6	953.715	2167.45	1419.43	2257.88	778.393	2403.37	2281.08	3008.37		744.748	3009.93	857.728	3322.25	484.697	415.488	3355.18	504.166	726.241	1623.13	2600.13	1474.48	7886.43	509.084	764.732	1833.69	5648.84	1051.45	1382.83	1110.52	2966.76	5727.47	8003.96	7639.33	2433.24	1139.84	4046.36	1258.49	803.886	869.643	1464.21	1266.76	3178.96	891.149	1195.75	2799.72	781.301	3294.09	680.257	1990.2	1830.5	3729.07	533.217	488.22	2473.54	2391.58	1948.31	1439.39
A0A0B4J1V2	A0A0B4J1V2	HV226_HUMAN	IGHV2-26	Immunoglobulin heavy variable 2-26	1457.36		1460.42	1207.84				1240.68	744.4	780.775	3256.23	896.421	1453.31		1779.51			839.874	1573.3	2181.04		360.867				1053.42	2209.46	1215.22	1689.28			632.073		1194.02	828.444		1123.44			1566.24	938.751									1093.14			593.331		1040.05	1067.55		892.88	1521.06			847.388		885.01											642.489	1206.9	2689.74	2627.64	1372.9			1845.76	482.59				902.915					1937.96			2012.43	2597.48			2069.05	1391.71		
A0A0B4J1X5	A0A0B4J1X5	HV374_HUMAN	IGHV3-74	Immunoglobulin heavy variable 3-74					1037.01		1482.87			1252.86				5521.9	1284.54		6849.08		3626.53		1070.59	1098.62		4289.21		1403.86	976.658	1242.36	2157.27	386.573		1090.65				1170.58	1594.82	2402.74		1746.4	2990.74	4364.48	2428.33	652.476	2728.25	1254.33	4658.89																1174.45												102.543		122.685				287.071																			3108.78		
A0A0B4J1Y8	A0A0B4J1Y8	LV949_HUMAN	IGLV9-49	Immunoglobulin lambda variable 9-49	3665.69		1853.51	1598.56				872.565		2661.24	2363.15	2146.25			1422.16	1315.39	1204.6	1467.03	3850.69	553.851		609.185	1538.37	1454.43		1086.63	2260.32	818.807						2549.93				519.344	1221.08	1607.75	1013.07	2103.02					1375.47		934.885	1504.81	1382.31	7500.17				903.107	543.267	1665.63			1570.55	1797.92	1720.04	1947.63	1904.23	1355.16			1812.12			1865.36	2889.86	1271.07	1804.69	2685.37	2561.68	1145.63	989.095	1465.89			2990.68	4582.58	3725.06		929.214	1672.76	1022.94	1712.2	1436.42	570.402	852.031	1364.36	1520.21	832.303	1048.89	787.881	1444.06	1235.27	1135.62	1051.34
